code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10026614, whisper ultra,PCS,45,34.24,40,34.24,38,GENERAL,4902430295857
10026372,2 GULAB,PCS,-21,0,121,99.75,110,HINDUSTAN UNILEVER LTD,8906076350136
10026373,2 GULAB,PCS,-1,0,63,52,57,HINDUSTAN UNILEVER LTD,8906076350129
10025976,20-20 BUTTER CLASSIC 40g,PCS,9109774,0,5,4.46,5,PARLE,8901719109843
10027007,20-20 CASHWE 150+50g,PCS,22,0,25,22.32,25,HINDUSTAN UNILEVER LTD,8901719109898
10026767,20-20 GLOD COOKIES 56.25g,PCS,17,0,10,9,10,HINDUSTAN UNILEVER LTD,8901719115530
10027734,20-20 GOLD 6 PACKS,PCS,7,0,110,75,100,HINDUSTAN UNILEVER LTD,8901719115219
10025975,20-20 NICE 68.75,PCS,49,0,10,8.64,10,PARLE,8901719109454
10027334,5 STAR,PCS,10,0,20,18.18,20,HINDUSTAN UNILEVER LTD,7622201150419
10027557,5 STAR 21.5G,PCS,73,0,10,9.09,10,HINDUSTAN UNILEVER LTD,7622201420222
10027559,5 STAR 3D 42G,PCS,11,0,30,26.78,29,HINDUSTAN UNILEVER LTD,7622201410964
10026793,6NWHISPER EXTRA LONG 6N,PCS,52,25.67,30,25.67,29,HINDUSTAN UNILEVER LTD,4902430330497
10026742,7 UP 750ML,PCS,-23,0,40,38.33,40,HINDUSTAN UNILEVER LTD,8902080304059
úí╠ƒ₧X£î`,8ùûüöôæ╝ÅÄHî|P(⌠çåqäâ⌡ü¼~8|l@Σwvatsσq£on(,?>°<,4,0,0,0,0,,"Φ,≡╚ö'&$#ò!L╪α╕ä"
10005998,A10 AASHIRWAD 10KG 10KG,PACK,28,0,400,0,335,ITC,8901725121112
10005997,A5 AASHIRWAD ATTA  5KG,PACK,17,0,206,0,175,ITC,8901725121129
10005173,AAA REMOT CELL,PACK,8,0,8,0,8,Indo National Limited,8901559103018
10026114,AAGARBATI,PCS,7,0,30,23.81,28,TEMPTIN,8901751010633
10026118,AAGARBATI,PCS,2,0,30,23.81,28,TEMPTIN,8901751010640
10028411,AAGARBATI,PCS,15,0,50,26,32,HINDUSTAN UNILEVER LTD,AAGAR26
10026587,AAGARBATI 116GM,PCS,1,0,55,40,50,GENERAL,8901751011685
10027143,AAGARBATI 18g,PCS,7,0,15,7,10,HINDUSTAN UNILEVER LTD,8906049573852
10028048,AAGARBATI 18G,PCS,5,0,10,8.07,10,HINDUSTAN UNILEVER LTD,8901751010329
10026592,AAGARBATI 40Gm,PCS,3,0,20,16,20,GENERAL,8901751011050
10026589,AAGARBATI 41Gm,PCS,2,0,20,16,20,GENERAL,8901751011081
10026591,AAGARBATI 45Gm,PCS,1,0,20,16,20,GENERAL,8901751011067
10026590,AAGARBATI 48Gm,PCS,3,0,20,16,20,GENERAL,8901751011074
10026113,AAGARBATI 66g,PCS,2,0,30,23.81,28,TEMPTIN,8901751010664
10026115,AAGARBATI 66g,PCS,5,0,30,23.81,28,TEMPTIN,8901751010671
10026117,AAGARBATI 66g,PCS,2,0,30,23.81,28,TEMPTIN,8901751010688
10028409,AAGARBATI FANTASIA 200,PCS,22,0,70,33.33,45,HINDUSTAN UNILEVER LTD,FANTA34
10028051,AAGARBATI LIA 115G,PCS,5,0,50,40.42,48,HINDUSTAN UNILEVER LTD,8901751010930
10028052,AAGARBATI LIA 115G,PCS,7,0,50,40.42,48,HINDUSTAN UNILEVER LTD,8901751012163
10028047,AAGARBATI LIA 18G,PCS,4,0,10,8.07,10,HINDUSTAN UNILEVER LTD,88901751010312
10028049,AAGARBATI LIA 18G,PCS,8,0,10,8.07,10,HINDUSTAN UNILEVER LTD,8901751010343
10028050,AAGARBATI LIA 18G,PCS,8,0,10,8.07,10,HINDUSTAN UNILEVER LTD,8901751010336
10028388,AAGARBATTI,PCS,28,0,80,30,50,HINDUSTAN UNILEVER LTD,AAGA30
10028410,AAGARBATTI 500GM,PCS,5,0,120,80,98,HINDUSTAN UNILEVER LTD,PINELE80
10026116,AAGRBATI,PCS,1,0,30,23.81,28,TEMPTIN,8901751010657
10021662,AAKASH AALU BHUJIA 150GM,PACK,6,0,35,0,30,AAKASH,8906005910486
10021663,Aakash AALU BHUJIA 350G,PACK,-2,0,75,0,70,AAKASH,8906005910493
10002103,AAKASH All in one  350G 0,PACK,8,0,75,0,70,GENERAL,8906005910646
10028135,AAKASH BESAN LADDU 400g,PCS,2,0,120,95,110,HINDUSTAN UNILEVER LTD,8906005912336
10002098,AAKASH BIKANERI BHUJIA 350G,PACK,-2,0,75,0,70,AAKASH,8906005910547
10026233,AAKASH BOONDI,PCS,50,0,5,0,5,NILONs,8906005912534
10026230,AAKASH HING SEV 350g,PCS,3,0,75,62,72,NILONs,8906005912152
10018671,AAKASH KH.MTH.350G,PACK,8,0,75,0,70,BAJAJ,8906005910042
10026622,AAKASH KHATA MITHA MIX 900G,PCS,2,0,175,146,165,GENERAL,8906005910059
10002107,AAKASH Khatta Meetha 150Gm,PACK,9,0,35,0,30,AAKASH,8906005910035
10018672,AAKASH LA.MIX 350G,PACK,12,0,75,0,70,AAKASH,8906005910196
10018674,AAKASH LA.SEV350G,PACK,2,0,75,0,70,AAKASH,8906005910349
10007019,AAKASH LAJAWAB MIX 150G,PACK,2,0,35,0,30,AAKASH,8906005910189
10007021,AAKASH Laung Sev 150Gm,PACK,5,0,35,0,33,AAKASH,8906005910134
10007025,AAKASH Laung Sev 350Gm,PACK,8,0,75,0,70,AAKASH,8906005910141
10002102,AAKASH MASTANA MIX 350G,PACK,9,0,75,0,70,AAKASH,8906005910240
10018673,AAKASH MUMBAI .MIX 350G,PACK,1,0,75,0,70,AAKASH,8906005910295
10017233,AAKASH Raita Boondi 150Gm,PACK,37,0,35,0,34,AAKASH,8906005910875
10018183,AAKASH RASGLLA,PACK,8,0,180,0,155,GENERAL,8906005911193
10012677,AAKASH RATLAMI SEV 150GM,PACK,5,0,35,0,30,AAKASH,8906005910080
10002104,AAKASH Ratlami Sev 350Gm,PACK,3,0,75,0,70,AAKASH,8906005910097
