Code,Product Name,Unit,Current Stock,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
10029117,EVERYUTH PUYRIFING FACE WASH 25g,PCS,1,0,20,16.37,20,HINDUSTAN UNILEVER LTD,,,8901120142415
10000217,LIZZAT PUNJABI MASALA 200Gm,PACK,-34,0,72,0,70,Shri Mahila Griha udyog,,,8901441017010
10026614, whisper ultra,PCS,35,34.24,40,34.24,38,GENERAL,,,4902430295857
10026372,2 GULAB,PCS,-21,0,121,99.75,110,HINDUSTAN UNILEVER LTD,,,8906076350136
10026373,2 GULAB,PCS,-1,0,63,52,57,HINDUSTAN UNILEVER LTD,,,8906076350129
10025976,20-20 BUTTER CLASSIC 40g,PCS,9109774,0,5,4.46,5,PARLE,,,8901719109843
10028893,20-20 CASHEW 16%EXTRA,PCS,89,0,10,8.66,9.5,HINDUSTAN UNILEVER LTD,,,8901719109881
10027007,20-20 CASHWE 150+50g,PCS,7,0,25,22.32,25,HINDUSTAN UNILEVER LTD,,,8901719109898
10026767,20-20 GLOD COOKIES 56.25g,PCS,17,0,10,9,10,HINDUSTAN UNILEVER LTD,,,8901719115530
10027734,20-20 GOLD 6 PACKS,PCS,6,0,110,75,100,HINDUSTAN UNILEVER LTD,,,8901719115219
10025975,20-20 NICE 68.75,PCS,39,0,10,8.64,10,PARLE,,,8901719109454
10025424,40/-CADBURY DAIRY MILK 52GM,PACK,-1,0,52,26,30,CADBURY,,,99901000003068
10027334,5 STAR,PCS,32,0,20,18.18,20,HINDUSTAN UNILEVER LTD,,,7622201150419
10028641,5 STAR 10.1G,PCS,81,0,5,4.54,5,HINDUSTAN UNILEVER LTD,,,7622201771638
10027557,5 STAR 21.5G,PCS,43,0,10,9.09,10,HINDUSTAN UNILEVER LTD,,,7622201420222
10028562,5 STAR 25% EXTRA,PCS,43,0,10,9.09,10,HINDUSTAN UNILEVER LTD,,,7622201771669
10027559,5 STAR 3D 42G,PCS,20,0,30,26.78,29,HINDUSTAN UNILEVER LTD,,,7622201410964
10028692,50-50 48G,PCS,14,0,10,9.09,9.5,HINDUSTAN UNILEVER LTD,,,8901063017450
10026793,6NWHISPER EXTRA LONG 6N,PCS,44,25.67,30,25.67,29,HINDUSTAN UNILEVER LTD,,,4902430330497
10026742,7 UP 750ML,PCS,-24,0,40,38.33,40,HINDUSTAN UNILEVER LTD,,,8902080304059
10005998,A10 AASHIRWAD 10KG 10KG,PACK,35,0,400,0,325,ITC,,,8901725121112
10005997,A5 AASHIRWAD ATTA  5KG,PACK,18,0,206,0,170,ITC,,,8901725121129
10005173,AAA REMOT CELL,PACK,8,0,8,0,8,Indo National Limited,,,8901559103018
10026114,AAGARBATI,PCS,7,0,30,23.81,28,TEMPTIN,,,8901751010633
10026118,AAGARBATI,PCS,2,0,30,23.81,28,TEMPTIN,,,8901751010640
10028411,AAGARBATI,PCS,22,0,50,26,34,HINDUSTAN UNILEVER LTD,,,AAGAR26
10026587,AAGARBATI 116GM,PCS,1,0,55,40,50,GENERAL,,,8901751011685
